City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Avarua,CK,77.0,scattered clouds,-21.21,-159.78,Paradise Inn
5,Carnarvon,AU,75.2,clear sky,-24.87,113.63,Hospitality Carnarvon
14,Portel,BR,76.53,scattered clouds,-1.94,-50.82,Pousada Avenida
18,San Pedro De Macoris,DO,80.6,few clouds,18.46,-69.3,Apartahotel Guaraguao
24,Hamilton,US,77.0,scattered clouds,39.18,-84.53,Six Acres Bed & Breakfast
26,Hobyo,SO,76.42,overcast clouds,5.35,48.53,Osmani Hotel
47,Tateyama,JP,89.6,broken clouds,34.98,139.87,Tateyama Seaside Hotel
49,Lexington Park,US,77.0,thunderstorm,38.27,-76.45,TownePlace Suites by Marriott Lexington Park Patuxent River Naval Air Station
51,Atuona,PF,79.18,few clouds,-9.8,-139.03,Villa Enata
52,Victoria,HK,89.01,light rain,22.29,114.16,Mini Hotel Central
53,Ugento,IT,78.01,clear sky,39.93,18.16,Porta Paradiso
55,Key Largo,US,84.0,overcast clouds,25.09,-80.45,Bayside Inn Key Largo
60,Bandarbeyla,SO,77.25,overcast clouds,9.49,50.81,REER XOOSHLE GROUP
69,Martapura,ID,86.85,scattered clouds,-3.42,114.85,Montana Hotel Syariah
73,Havelock,US,82.0,scattered clouds,34.88,-76.9,Sherwood Motel
75,Bandiagara,ML,76.24,overcast clouds,14.35,-3.61,Hotel de la Falaise
80,Kapurthala,IN,82.4,mist,31.38,75.38,Hotel Mehak
81,Esmeralda,CU,78.8,clear sky,21.85,-78.12,campismo las palmas
88,Yulara,AU,75.2,clear sky,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
90,Pakala,IN,80.6,few clouds,13.47,79.12,TELUGU TALLI OLD AGE HOME
91,Cockburn Town,TC,82.42,clear sky,21.46,-71.14,Osprey Beach Hotel
96,Kavieng,PG,85.91,scattered clouds,-2.57,150.8,Nusa Island Retreat
99,Sao Filipe,CV,79.12,broken clouds,14.9,-24.5,Tortuga B&B
100,Kavaratti,IN,81.97,light rain,10.57,72.64,Bismillah Hotel And Lodging
103,Hithadhoo,MV,82.65,scattered clouds,-0.6,73.08,Scoop Guest House
104,Faanui,PF,78.3,clear sky,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
105,Port-Gentil,GA,75.16,overcast clouds,-0.72,8.78,Fengshui Residence
109,Fort Walton Beach,US,82.4,clear sky,30.41,-86.62,Best Western Ft. Walton Beachfront
111,Butaritari,KI,84.0,scattered clouds,3.07,172.79,Isles Sunset Lodge
112,Lorengau,PG,85.33,overcast clouds,-2.02,147.27,Lorengau Harbourside Hotel
116,Dunmore Town,BS,84.24,scattered clouds,25.5,-76.65,Coral Sands Hotel
117,Puerto Narino,CO,77.0,overcast clouds,-3.77,-70.38,Eware Refugio Amazonico
119,Charlestown,AU,75.0,clear sky,-32.95,151.67,Panorama Motor Inn Hotel
122,Mount Isa,AU,82.4,few clouds,-20.73,139.5,ibis Styles Mt Isa Verona
133,Phalodi,IN,89.6,scattered clouds,27.13,72.37,Hotel Fort View
139,Sabang,ID,83.43,overcast clouds,5.89,95.32,Hotel Citra
147,San Pedro,PH,88.0,broken clouds,14.35,121.02,OYO 412 Viewfort Venue
148,Karratha,AU,88.57,clear sky,-20.74,116.85,ibis Styles Karratha
152,Meulaboh,ID,80.31,overcast clouds,4.14,96.13,Kost Pria
153,Namatanai,PG,84.88,scattered clouds,-3.67,152.43,Namatanai Hotel
159,Suwannaphum,TH,88.0,few clouds,15.6,103.8,วรรณมณี รีสอร์ท
161,Jaru,BR,80.2,scattered clouds,-10.44,-62.47,Hotel Paraná
165,Kapaa,US,82.4,clear sky,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
166,Palmerston,AU,89.01,broken clouds,-12.49,130.98,Quest Palmerston - Serviced Apartments and Accommodation
169,Sri Aman,MY,80.6,scattered clouds,1.24,111.46,Seri Simanggang Hotel
175,Karimganj,IN,78.39,overcast clouds,24.87,92.35,Ahar Hotel And Aheli Restaurant
