City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mana,GF,5.66,-53.78,78.76,88,8,5.14,clear sky
1,North Bend,US,43.41,-124.22,81.0,72,1,25.28,clear sky
2,Ogdensburg,US,44.69,-75.49,64.0,93,20,3.89,few clouds
3,Olinda,BR,-8.01,-34.86,78.8,78,75,10.29,broken clouds
4,Upata,VE,8.01,-62.4,82.0,76,32,1.99,scattered clouds
5,Albany,US,42.6,-73.97,68.0,82,100,1.54,overcast clouds
6,Zhuhai,CN,22.28,113.57,86.0,84,20,3.36,few clouds
7,Hobart,AU,-42.88,147.33,57.99,58,75,13.87,broken clouds
8,Muros,ES,42.78,-9.06,57.0,93,5,1.01,clear sky
9,Dikson,RU,73.51,80.55,48.07,83,84,6.82,broken clouds
10,Rikitea,PF,-23.12,-134.97,69.37,66,0,5.64,clear sky
11,Arraial Do Cabo,BR,-22.97,-42.03,71.6,78,0,10.29,clear sky
12,Cape Town,ZA,-33.93,18.42,50.0,81,90,16.11,moderate rain
13,Katesh,TZ,-4.52,35.38,52.99,96,9,6.67,clear sky
14,Airai,TL,-8.93,125.41,70.81,48,73,6.02,broken clouds
15,Rochester,US,43.15,-77.62,68.0,77,90,6.93,overcast clouds
16,Atuona,PF,-9.8,-139.03,77.63,80,50,19.77,light rain
17,Mahebourg,MU,-20.41,57.7,71.6,78,40,8.05,scattered clouds
18,Georgetown,MY,5.41,100.34,80.6,83,20,3.33,few clouds
19,Ushuaia,AR,-54.8,-68.3,32.0,94,90,26.4,snow
20,Scarborough,GB,54.28,-0.4,54.0,87,85,8.01,light rain
21,Hambantota,LK,6.12,81.12,77.0,94,100,4.7,heavy intensity rain
22,Tuatapere,NZ,-46.13,167.68,45.0,72,66,11.01,broken clouds
23,Lucapa,AO,-8.42,20.74,69.31,70,1,2.84,clear sky
24,Chuy,UY,-33.7,-53.46,56.57,96,47,3.51,scattered clouds
25,Wageningen,NL,51.97,5.67,55.99,100,0,4.7,clear sky
26,Punta Arenas,CL,-53.15,-70.92,30.2,68,10,24.16,clear sky
27,Itarema,BR,-2.92,-39.92,78.12,78,0,16.67,clear sky
28,Kanth,IN,29.07,78.63,77.05,85,93,4.74,overcast clouds
29,Saint-Philippe,RE,-21.36,55.77,66.2,72,43,5.82,light rain
30,Marmande,FR,44.5,0.17,59.0,91,0,1.01,clear sky
31,Alingsas,SE,57.93,12.53,53.6,81,20,9.17,few clouds
32,Mabaruma,GY,8.2,-59.78,76.39,89,2,2.75,clear sky
33,Mar Del Plata,AR,-38.0,-57.56,55.99,93,90,3.36,overcast clouds
34,Tuktoyaktuk,CA,69.45,-133.04,51.8,62,20,11.41,few clouds
35,Thompson,CA,55.74,-97.86,59.0,82,75,6.93,broken clouds
36,Pisco,PE,-13.7,-76.22,62.6,82,75,10.29,broken clouds
37,Alofi,NU,-19.06,-169.92,80.6,61,23,21.92,few clouds
38,Moberly,US,39.42,-92.44,88.0,66,2,1.99,clear sky
39,Ponta Do Sol,PT,32.67,-17.1,75.2,69,20,11.41,few clouds
40,Ippy,CF,6.27,21.22,68.4,98,100,4.7,moderate rain
41,Salta,AR,-24.79,-65.41,66.2,55,30,4.7,scattered clouds
42,Maputo,MZ,-25.97,32.59,69.8,83,75,9.17,broken clouds
43,Kaitangata,NZ,-46.28,169.85,52.09,58,95,16.15,overcast clouds
44,San Jeronimo,PE,-11.95,-75.28,52.81,60,2,3.8,clear sky
45,Tahta,EG,26.77,31.5,80.6,44,0,8.05,clear sky
46,Faanui,PF,-16.48,-151.75,76.53,79,13,19.26,few clouds
47,Hilo,US,19.73,-155.09,84.2,54,1,9.17,clear sky
48,Sur,OM,22.57,59.53,83.95,65,100,5.23,overcast clouds
49,Bluff,NZ,-46.6,168.33,45.0,72,82,11.01,broken clouds
50,Madang,PG,-5.22,145.8,80.62,79,100,2.08,light rain
51,Bredasdorp,ZA,-34.53,20.04,50.0,76,42,9.17,moderate rain
52,Catalina,US,32.51,-110.92,97.0,28,100,1.99,light rain
53,Khatanga,RU,71.97,102.5,61.16,47,0,6.67,clear sky
54,Dillon,US,34.42,-79.37,82.0,83,1,4.7,clear sky
55,Boca Do Acre,BR,-8.75,-67.4,84.7,43,91,1.03,overcast clouds
56,Vila Velha,BR,-20.33,-40.29,71.6,88,40,3.36,scattered clouds
57,Te Anau,NZ,-45.42,167.72,45.46,83,100,9.13,light rain
58,Callaway,US,30.15,-85.57,84.2,79,1,9.17,clear sky
59,Pevek,RU,69.7,170.31,39.97,88,97,1.3,overcast clouds
60,Hermanus,ZA,-34.42,19.23,48.0,91,100,4.0,moderate rain
61,La Ronge,CA,55.1,-105.28,62.6,63,75,6.93,broken clouds
62,Saint-Joseph,RE,-21.37,55.62,66.2,72,38,5.82,scattered clouds
63,Komsomolskiy,UZ,40.43,71.72,64.4,63,0,6.93,clear sky
64,Kapaa,US,22.08,-159.32,84.2,66,20,12.75,few clouds
65,Aromashevo,RU,56.86,68.64,58.87,90,73,2.93,broken clouds
66,Luxor,EG,25.7,32.64,82.4,45,0,3.36,clear sky
67,Vestmanna,FO,62.16,-7.17,46.4,87,54,2.24,broken clouds
68,Asau,RO,46.43,26.4,57.0,74,30,3.18,light rain
69,Tiksi,RU,71.69,128.87,44.87,76,40,11.16,scattered clouds
70,Mwinilunga,ZM,-11.74,24.43,61.93,82,1,1.07,clear sky
