City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Mana,GF,78.76,clear sky,5.66,-53.78,LE SAMANA
1,North Bend,US,81.0,clear sky,43.41,-124.22,Red Lion Hotel Coos Bay
3,Olinda,BR,78.8,broken clouds,-8.01,-34.86,Hotel 5 Sóis
4,Upata,VE,82.0,scattered clouds,8.01,-62.4,Posada Villa Nela
6,Zhuhai,CN,86.0,few clouds,22.28,113.57,珠海粤财假日酒店
16,Atuona,PF,77.63,light rain,-9.8,-139.03,Villa Enata
18,Georgetown,MY,80.6,few clouds,5.41,100.34,Cititel Penang
21,Hambantota,LK,77.0,heavy intensity rain,6.12,81.12,Bungalow 63
27,Itarema,BR,78.12,clear sky,-2.92,-39.92,Windvillage
28,Kanth,IN,77.05,overcast clouds,29.07,78.63,Sagar Hotel
37,Alofi,NU,80.6,few clouds,-19.06,-169.92,Taloa Heights
38,Moberly,US,88.0,clear sky,39.42,-92.44,Super 8 by Wyndham Moberly MO
39,Ponta Do Sol,PT,75.2,few clouds,32.67,-17.1,Hotel do Campo
45,Tahta,EG,80.6,clear sky,26.77,31.5,Møhãmęd Tãręk 🏠
46,Faanui,PF,76.53,few clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
47,Hilo,US,84.2,clear sky,19.73,-155.09,Hilo Hawaiian Hotel
48,Sur,OM,83.95,overcast clouds,22.57,59.53,Sur Plaza Hotel
50,Madang,PG,80.62,light rain,-5.22,145.8,Comfort Inn Hotel
54,Dillon,US,82.0,clear sky,34.42,-79.37,Dillon Express Inn
55,Boca Do Acre,BR,84.7,overcast clouds,-8.75,-67.4,Hotel Linhares
58,Callaway,US,84.2,clear sky,30.15,-85.57,Holiday Inn Express & Suites Panama City-Tyndall
64,Kapaa,US,84.2,few clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
66,Luxor,EG,82.4,clear sky,25.7,32.64,Iberotel Luxor
73,Gat,IL,78.01,clear sky,31.61,34.76,רגע בנחת
76,Lander,US,80.6,clear sky,42.83,-108.73,Holiday Inn Express & Suites Lander
78,Banda Aceh,ID,81.39,light rain,5.56,95.32,OYO 884 Rumoh PMI Hotel
79,Avarua,CK,77.0,clear sky,-21.21,-159.78,Paradise Inn
80,Narang,PK,80.6,mist,31.91,74.52,مسجد عمر فاروق
81,Vaini,TO,78.8,broken clouds,-21.2,-175.2,Keleti Beach Resort
83,Lae,PG,80.53,light rain,-6.72,146.98,Phils Hotel
92,Padilla,CO,77.0,broken clouds,3.22,-76.31,La Granadina
99,Tautira,PF,84.2,few clouds,-17.73,-149.15,Pension Oaoa
105,Russell,US,80.6,broken clouds,32.35,-85.2,Macs
108,Mecca,SA,86.7,clear sky,21.43,39.83,Hotel Fairmont Makkah Clock Royal Tower
110,Rincon,US,89.6,scattered clouds,32.3,-81.24,Bent tree subdivision
113,Makakilo City,US,87.8,broken clouds,21.35,-158.09,Marriott's Ko Olina Beach Club
120,Tuy Hoa,VN,84.7,clear sky,13.08,109.3,CenDeluxe Hotel Tuy Hoa
121,Bengkulu,ID,79.59,broken clouds,-3.8,102.27,Grage Hotel Bengkulu
122,Butaritari,KI,82.27,broken clouds,3.07,172.79,Isles Sunset Lodge
125,Sao Filipe,CV,80.55,light rain,14.9,-24.5,Tortuga B&B
127,Wad Rawah,SD,83.53,overcast clouds,15.16,33.14,ود الترابي
133,Salalah,OM,75.2,mist,17.02,54.09,HAMDAN PLAZA HOTEL
137,Dwarka,IN,81.68,light rain,22.24,68.97,Hotel Narayan Avezika Comfort
138,Hithadhoo,MV,82.06,overcast clouds,-0.6,73.08,Scoop Guest House
142,Kudahuvadhoo,MV,81.72,overcast clouds,2.67,72.89,Kudahuvadhoo Retreat
143,Bambanglipuro,ID,81.55,clear sky,-7.95,110.28,Puri Brata
145,Auki,SB,83.62,overcast clouds,-8.77,160.7,Auki Motel
147,Puerto Plata,DO,82.99,few clouds,19.79,-70.69,Be Live Collection Marien
148,Hamilton,US,79.0,clear sky,39.18,-84.53,Six Acres Bed & Breakfast
149,Karachi,PK,82.4,broken clouds,24.91,67.08,Hillside Homes
150,Namatanai,PG,84.47,clear sky,-3.67,152.43,Namatanai Hotel
159,Westport,US,75.99,overcast clouds,41.14,-73.36,The Westport Inn
161,Bulolo,PG,77.94,overcast clouds,-7.2,146.65,Pine Lodge Bulolo
162,Kiunga,PG,76.93,light rain,-6.12,141.29,Airport Lodge Kiunga
167,Jose Bonifacio,BR,77.0,clear sky,-21.05,-49.69,HOTEL DOS VIAJANTES
168,Rio De Janeiro,BR,75.2,clear sky,-22.9,-43.21,Windsor Guanabara Hotel
169,Black River,JM,86.0,scattered clouds,18.03,-77.85,Idlers' Rest Beach Hotel
171,Brindisi,IT,78.01,clear sky,40.58,17.67,Agriturismo Tibitone
179,Indiana,US,84.2,clear sky,40.0,-86.25,Emily Jarrett
185,Lakatoro,VU,77.0,overcast clouds,-16.1,167.42,Lakatoro Palm Lodge
186,Nishihara,JP,87.8,broken clouds,26.18,127.76,Minshuku Agaihama
188,Crestview,US,80.6,scattered clouds,30.76,-86.57,Holiday Inn Express & Suites Crestview South I-10
189,Kerema,PG,81.3,scattered clouds,-7.96,145.78,Elore Lodge
191,Cockburn Town,TC,82.87,clear sky,21.46,-71.14,Osprey Beach Hotel
199,Nakamura,JP,87.73,clear sky,32.98,132.93,Hotel Crown Hills Nakamura
201,Blora,ID,81.68,clear sky,-6.97,111.42,Hotel Adhi Jaya
202,Sri Aman,MY,77.0,scattered clouds,1.24,111.46,Seri Simanggang Hotel
203,Kavieng,PG,83.8,clear sky,-2.57,150.8,Nusa Island Retreat
205,Barwala,IN,81.5,clear sky,29.38,75.92,Shri mehndi pur bala ji highway fules
206,Natchez,US,80.6,clear sky,31.56,-91.4,Hampton Inn & Suites Natchez
207,Victoria,HK,86.0,clear sky,22.29,114.16,Mini Hotel Central
214,Naze,JP,87.8,few clouds,28.37,129.48,奄美ポートタワーホテル
222,Chiang Rai,TH,77.0,few clouds,19.91,99.83,Nak Nakara Hotel
223,Tura,IN,75.38,few clouds,25.52,90.22,Hotel RIKMAN Continental
224,Jalu,LY,77.65,clear sky,29.03,21.55,Jalu Hotel
230,Dakoro,NE,78.6,overcast clouds,14.51,6.76,boukha ag ghamran
232,Acapulco,MX,84.2,broken clouds,16.86,-99.89,HS Hotsson Smart Acapulco
250,Cabo San Lucas,MX,79.0,overcast clouds,22.89,-109.91,Hotel Tesoro Los Cabos
251,Miri,MY,78.8,scattered clouds,4.41,114.01,"Mega Hotel, Miri"
